#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|       ../receive0_nexys_8GB.txt|  6.49e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.05785600|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.84373652|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.46004903|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.20049143|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.79996422|  PASSED  
        diehard_opso|   0|   2097152|     100|0.93763067|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.91271182|  PASSED  
         diehard_dna|   0|   2097152|     100|0.62680804|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.74927345|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.12592837|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.94278939|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.27479570|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.74645655|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.43904478|  PASSED  
        diehard_sums|   0|       100|     100|0.06712557|  PASSED  
        diehard_runs|   0|    100000|     100|0.72235676|  PASSED  
        diehard_runs|   0|    100000|     100|0.98633479|  PASSED  
       diehard_craps|   0|    200000|     100|0.97881026|  PASSED  
       diehard_craps|   0|    200000|     100|0.97446886|  PASSED  
# The file file_input_raw was rewound 1 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95094183|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87044925|  PASSED  
# The file file_input_raw was rewound 1 times
         sts_monobit|   1|    100000|     100|0.92026915|  PASSED  
# The file file_input_raw was rewound 1 times
            sts_runs|   2|    100000|     100|0.89326548|  PASSED  
# The file file_input_raw was rewound 1 times
          sts_serial|   1|    100000|     100|0.89272498|  PASSED  
          sts_serial|   2|    100000|     100|0.97495108|  PASSED  
          sts_serial|   3|    100000|     100|0.55109309|  PASSED  
          sts_serial|   3|    100000|     100|0.13667217|  PASSED  
          sts_serial|   4|    100000|     100|0.44299185|  PASSED  
          sts_serial|   4|    100000|     100|0.98939618|  PASSED  
          sts_serial|   5|    100000|     100|0.98177969|  PASSED  
          sts_serial|   5|    100000|     100|0.54933412|  PASSED  
          sts_serial|   6|    100000|     100|0.44307718|  PASSED  
          sts_serial|   6|    100000|     100|0.31717207|  PASSED  
          sts_serial|   7|    100000|     100|0.21910741|  PASSED  
          sts_serial|   7|    100000|     100|0.61783679|  PASSED  
          sts_serial|   8|    100000|     100|0.09299288|  PASSED  
          sts_serial|   8|    100000|     100|0.03769233|  PASSED  
          sts_serial|   9|    100000|     100|0.28480582|  PASSED  
          sts_serial|   9|    100000|     100|0.98434964|  PASSED  
          sts_serial|  10|    100000|     100|0.71864258|  PASSED  
          sts_serial|  10|    100000|     100|0.48211767|  PASSED  
          sts_serial|  11|    100000|     100|0.42702862|  PASSED  
          sts_serial|  11|    100000|     100|0.81565547|  PASSED  
          sts_serial|  12|    100000|     100|0.34432685|  PASSED  
          sts_serial|  12|    100000|     100|0.17699424|  PASSED  
