#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|    ../receive0_zedboard_8GB.txt|  5.91e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.34082654|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.84034535|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.24822750|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.55393350|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.46703862|  PASSED  
        diehard_opso|   0|   2097152|     100|0.95446011|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.88708643|  PASSED  
         diehard_dna|   0|   2097152|     100|0.11903037|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.01849885|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.17716762|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.77743129|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.98842420|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.39356703|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.99704882|   WEAK   
        diehard_sums|   0|       100|     100|0.55586161|  PASSED  
        diehard_runs|   0|    100000|     100|0.59450617|  PASSED  
        diehard_runs|   0|    100000|     100|0.40702832|  PASSED  
       diehard_craps|   0|    200000|     100|0.78215667|  PASSED  
       diehard_craps|   0|    200000|     100|0.14562149|  PASSED  
# The file file_input_raw was rewound 1 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67537590|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.18119685|  PASSED  
# The file file_input_raw was rewound 1 times
         sts_monobit|   1|    100000|     100|0.15768707|  PASSED  
# The file file_input_raw was rewound 1 times
            sts_runs|   2|    100000|     100|0.22602788|  PASSED  
# The file file_input_raw was rewound 1 times
          sts_serial|   1|    100000|     100|0.28941467|  PASSED  
          sts_serial|   2|    100000|     100|0.85890791|  PASSED  
          sts_serial|   3|    100000|     100|0.58605711|  PASSED  
          sts_serial|   3|    100000|     100|0.94291940|  PASSED  
          sts_serial|   4|    100000|     100|0.24825739|  PASSED  
          sts_serial|   4|    100000|     100|0.20599393|  PASSED  
          sts_serial|   5|    100000|     100|0.99868237|   WEAK   
          sts_serial|   5|    100000|     100|0.65375353|  PASSED  
          sts_serial|   6|    100000|     100|0.85182091|  PASSED  
          sts_serial|   6|    100000|     100|0.51353381|  PASSED  
          sts_serial|   7|    100000|     100|0.64379781|  PASSED  
          sts_serial|   7|    100000|     100|0.79667916|  PASSED  
          sts_serial|   8|    100000|     100|0.77431213|  PASSED  
          sts_serial|   8|    100000|     100|0.40922982|  PASSED  
          sts_serial|   9|    100000|     100|0.85402909|  PASSED  
          sts_serial|   9|    100000|     100|0.92745964|  PASSED  
          sts_serial|  10|    100000|     100|0.84189898|  PASSED  
          sts_serial|  10|    100000|     100|0.65248961|  PASSED  
          sts_serial|  11|    100000|     100|0.95706259|  PASSED  
          sts_serial|  11|    100000|     100|0.09826439|  PASSED  
          sts_serial|  12|    100000|     100|0.77161402|  PASSED  
          sts_serial|  12|    100000|     100|0.63602750|  PASSED  
          sts_serial|  13|    100000|     100|0.99865876|   WEAK   
          sts_serial|  13|    100000|     100|0.53800076|  PASSED  
          sts_serial|  14|    100000|     100|0.65510852|  PASSED  
          sts_serial|  14|    100000|     100|0.29687409|  PASSED  
          sts_serial|  15|    100000|     100|0.89166799|  PASSED  
          sts_serial|  15|    100000|     100|0.32033528|  PASSED  
          sts_serial|  16|    100000|     100|0.99683272|   WEAK   
          sts_serial|  16|    100000|     100|0.93288461|  PASSED  
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   1|    100000|     100|0.61490374|  PASSED  
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   2|    100000|     100|0.64517396|  PASSED  
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   3|    100000|     100|0.72343486|  PASSED  
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   4|    100000|     100|0.50742127|  PASSED  
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   5|    100000|     100|0.99840626|   WEAK   
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   6|    100000|     100|0.30119002|  PASSED  
# The file file_input_raw was rewound 1 times
         rgb_bitdist|   7|    100000|     100|0.09010988|  PASSED  
# The file file_input_raw was rewound 2 times
         rgb_bitdist|   8|    100000|     100|0.57898714|  PASSED  
# The file file_input_raw was rewound 2 times
         rgb_bitdist|   9|    100000|     100|0.99938213|   WEAK   
# The file file_input_raw was rewound 2 times
         rgb_bitdist|  10|    100000|     100|0.71551129|  PASSED  
# The file file_input_raw was rewound 2 times
         rgb_bitdist|  11|    100000|     100|0.31374141|  PASSED  
# The file file_input_raw was rewound 2 times
         rgb_bitdist|  12|    100000|     100|0.10122210|  PASSED  
# The file file_input_raw was rewound 2 times
rgb_minimum_distance|   2|     10000|    1000|0.11916188|  PASSED  
# The file file_input_raw was rewound 2 times
rgb_minimum_distance|   3|     10000|    1000|0.73216922|  PASSED  
# The file file_input_raw was rewound 2 times
rgb_minimum_distance|   4|     10000|    1000|0.03448909|  PASSED  
# The file file_input_raw was rewound 2 times
rgb_minimum_distance|   5|     10000|    1000|0.92180406|  PASSED  
# The file file_input_raw was rewound 2 times
    rgb_permutations|   2|    100000|     100|0.32776820|  PASSED  
# The file file_input_raw was rewound 2 times
    rgb_permutations|   3|    100000|     100|0.15026175|  PASSED  
# The file file_input_raw was rewound 2 times
    rgb_permutations|   4|    100000|     100|0.66463594|  PASSED  
# The file file_input_raw was rewound 2 times
    rgb_permutations|   5|    100000|     100|0.96329348|  PASSED  
